Serial_Number,xgb_predict
201601010102,20.330542
201601010115,18.658333
201601010123,18.816944
201601010126,18.35721
201601010136,24.782642
201601010151,27.786118
201601010158,31.193268
201601010162,30.28605
201601010163,31.38501
201601010164,23.237011
201601010165,33.71826
201601010167,39.293766
201601010169,33.918194
201601010175,37.637447
201601010176,32.07026
201601010177,28.689838
201601010178,31.56298
201601010186,36.211742
201601010188,34.895603
201601010191,44.648727
201601010194,35.088825
201601010198,49.028362
201601010204,43.293354
201601010207,43.155212
201601010208,55.174408
201601010231,43.719074
201601010239,43.644844
201601010243,23.847248
201601010244,50.522663
201601010254,71.089645
201601010258,58.354298
201601010260,60.732513
201601010262,66.02062
201601010303,63.748634
201601010314,69.09562
201601010317,69.61209
201601010319,63.421196
201601010343,65.417404
201601010344,62.45883
201601010347,66.18975
201601010368,67.089615
201601010369,66.07874
201601010377,66.60374
201601010382,66.88136
201601010384,64.62071
201601010386,69.17306
201601010392,61.524826
201601010396,69.74544
201601010432,68.401924
201601010454,67.751076
201601010456,63.41256
201601010469,73.81068
201601010494,68.3255
201601010496,71.63175
201601010498,70.040054
201601010500,66.93891
201601010524,67.38102
201601010532,66.73331
201601010533,61.121185
201601010552,66.4848
201601010593,66.643974
201601010598,59.54142
201601010605,62.537636
201601010607,66.167046
201601010609,58.885113
201601010617,65.23801
201601010632,62.099094
201601010635,57.664433
201601010636,60.28055
201601010637,57.080658
201601010643,64.765305
201601010647,61.433296
201601010648,62.89105
201601010659,59.769653
201601010660,62.662663
201601010663,60.597363
201601010665,58.4118
201601010667,59.12619
201601010669,61.354572
201601010670,63.182827
201601010676,59.34764
201601010684,65.0529
201601010696,59.024586
201601010699,60.913593
201601010702,64.865814
201601010706,63.682674
201601010709,56.24841
201601010724,62.524
201601010747,63.36525
201601010752,63.926937
201601010754,57.238808
201601010795,59.88173
201601010846,47.386795
201601010905,62.20719
201601010916,41.462307
201601010924,40.361717
201601010927,50.552166
201601010930,44.98124
201601010943,62.949215
201601010945,53.94002
201601010946,52.20256
201601010947,50.95412
201601010949,61.938503
201601010951,54.39045
201601010958,41.851997
201601010960,53.07903
201601010965,56.75546
201601010970,53.41664
201601010975,60.37804
201601010979,33.71336
201601010988,42.27176
201601011002,69.842255
201601011008,58.125427
201601011011,60.998306
201601011018,64.014824
201601011021,59.087746
201601011024,69.75084
201601011037,67.45653
201601011041,69.64412
201601011043,67.85887
201601011051,70.70087
201601011053,65.71681
201601011066,69.722206
201601011075,68.967964
201601011078,67.61807
201601011080,63.444183
201601011081,64.84804
201601011082,71.183556
201601011087,67.838394
201601011089,70.64836
201601011092,70.73907
201601011095,68.79961
201601011096,67.708626
201601011104,68.35273
201601011108,69.424126
201601011110,68.16236
201601011122,67.04686
201601011132,68.15666
201601011160,67.90592
201601011161,63.45889
201601011162,67.356804
201601011165,68.51753
201601011170,67.60368
201601011175,67.04951
201601011177,66.58599
201601011178,68.14553
201601011179,66.97213
201601011181,65.30623
201601011183,70.63356
201601011184,70.0231
201601011185,69.48854
201601011187,66.49654
201601011193,67.24238
201601011198,67.94067
201601011199,71.80306
201601011200,68.104485
201601011202,66.85498
201601011203,71.40913
201601011208,67.53376
201601011209,67.67884
201601011215,68.3176
201601011216,64.24468
201601011218,69.02204
201601011219,65.478424
201601011221,67.15028
201601011222,71.67239
201601011224,71.05571
201601011228,69.045586
201601011229,70.08815
201601011232,69.11038
201601011234,69.32672
201601011236,71.52675
201601011237,69.16154
201601011242,70.45991
201601011245,70.92365
201601011254,69.11859
201601011264,68.763145
201601011266,67.87196
201601011275,69.99252
201601011284,68.68596
201601011285,67.570656
201601011288,70.43861
201601011290,71.79821
201601011297,63.64564
201601011304,69.57528
201601011307,69.520065
201601011317,71.29069
201601011320,70.81034
201601011323,70.84438
201601011325,69.730125
201601011327,60.034096
201601011338,69.35923
201601011343,71.967926
201601011350,69.73967
201601011351,67.33857
201601011352,57.107563
201601011354,43.447636
201601011359,64.8944
201601011390,64.41524
201601011392,62.901215
201601011395,66.38376
201601011397,40.523342
201601011407,65.36204
201601011413,27.192078
201601011418,26.22681
201601011426,27.395588
201601011432,23.273201
201601020085,20.62555
201601020090,19.942064
201601020092,20.836657
201601020104,22.071505
201601020110,21.897339
201601020111,25.647364
201601020113,27.839983
201601020114,24.550163
201601020126,29.315084
201601020131,26.659557
201601020132,27.49176
201601020135,23.537035
201601020138,28.729633
201601020139,28.643162
201601020140,27.247993
201601020147,31.670681
201601020149,28.13372
201601020152,36.730595
201601020155,30.93566
201601020163,33.490883
201601020166,31.766687
201601020169,30.515305
201601020176,59.35211
201601020178,46.508488
201601020189,43.61272
201601020192,40.948246
201601020205,46.56775
201601020212,42.951397
201601020221,69.32655
201601020224,36.16496
201601020228,47.398186
201601020229,56.187347
201601020237,55.77727
201601020238,67.1527
201601020240,51.213116
201601020262,61.956524
201601020266,68.33086
201601020271,68.06334
201601020274,64.34581
201601020275,64.01577
201601020276,63.521263
201601020277,60.773872
201601020281,67.65637
201601020283,67.12254
201601020287,66.58213
201601020289,67.55392
201601020291,64.41349
201601020292,69.35557
201601020296,67.555984
201601020298,67.71869
201601020306,67.085335
201601020310,67.1717
201601020312,66.541145
201601020316,66.415695
201601020330,65.51573
201601020333,69.17152
201601020334,69.07815
201601020337,65.32474
201601020338,66.74451
201601020340,65.84457
201601020343,66.26552
201601020350,66.23924
201601020355,67.77807
201601020358,69.508446
201601020361,66.47238
201601020362,68.47454
201601020363,67.15188
201601020365,67.89668
201601020367,65.63189
201601020373,67.39249
201601020374,67.06751
201601020380,64.924545
201601020389,69.66691
201601020395,65.89671
201601020396,65.36614
201601020407,66.16475
201601020417,64.1653
201601020418,62.717896
201601020422,67.84078
201601020425,63.258278
201601020429,66.80801
201601020451,64.62606
201601020453,65.03375
201601020460,64.60883
201601020462,64.0123
201601020463,59.68472
201601020474,65.837746
201601020475,65.694496
201601020501,55.862514
201601020504,58.611603
201601020531,61.66744
201601020534,66.99648
201601020546,59.336914
201601020552,70.582985
201601020555,66.22413
201601020558,66.53182
201601020562,63.070114
201601020628,30.005907
201601020631,33.796124
201601020633,46.018066
201601020797,48.27823
201601020801,44.984455
201601020829,46.63855
201601020848,51.200207
201601020923,68.50353
201601020926,65.42511
201601020929,53.24726
201601020930,66.551994
201601020935,61.452816
201601020937,60.750896
201601020943,64.44617
201601020969,61.93671
201601020976,61.374626
201601020982,65.45614
201601020983,63.856865
201601020986,62.36706
201601020988,67.191475
201601021001,66.99314
201601021013,69.094734
201601021015,66.63004
201601021019,66.20646
201601021022,59.969738
201601021024,65.76804
201601021031,66.32332
201601021032,66.082924
201601021033,68.95042
201601021034,65.3682
201601021036,63.859665
201601021038,66.83059
201601021043,66.29763
201601021046,65.203255
201601021050,64.46936
201601021070,65.39384
201601021073,65.736664
201601021074,64.506714
201601021076,66.62131
201601021089,64.581825
201601021091,67.39726
201601021093,66.134026
201601021100,64.52508
201601021106,63.329884
201601021107,67.331085
201601021112,63.60068
201601021116,67.65323
201601021118,65.096405
201601021120,68.78795
201601021142,63.269962
201601021143,62.96164
201601021147,63.639523
201601021151,64.131004
201601021153,63.27112
201601021166,63.43222
201601021168,50.963066
201601021169,62.669174
201601021175,65.46599
201601021188,62.13597
201601021189,49.402687
201601021191,65.51209
201601021194,55.821316
201601021201,58.826183
201601021202,67.818504
201601021207,68.13013
201601021222,52.97545
201601021223,45.137447
201601021240,47.32244
201601021248,38.956688
201601021250,31.308435
201601021251,29.240171
201601021253,29.186953
201601021256,30.243666
201601021261,43.47866
201601021263,43.39429
201601021267,28.413206
201601021271,29.37233
201601021278,26.47602
201601030117,17.748543
201601030125,20.94771
201601030126,23.232525
201601030158,30.133501
201601030197,34.181858
201601030213,31.678068
201601030214,55.251854
201601030215,45.79063
201601030228,51.234806
201601030231,47.793575
201601030232,37.201275
201601030242,38.266514
201601030247,38.373444
201601030249,42.261093
201601030250,49.055103
201601030251,51.00063
201601030260,60.54656
201601030263,62.133068
201601030267,40.26272
201601030268,45.461678
201601030269,39.373898
201601030270,65.33983
201601030271,68.622604
201601030272,46.349277
201601030274,42.946964
201601030276,64.45836
201601030278,69.88179
201601030279,47.292957
201601030283,68.15237
201601030287,51.586006
201601030289,68.41535
201601030290,68.471756
201601030292,58.39058
201601030293,52.831142
201601030294,65.341606
201601030310,68.27124
201601030312,68.34994
201601030313,63.475758
201601030314,36.943634
201601030316,42.669388
201601030319,59.533722
201601030326,53.565594
201601030327,67.297585
201601030329,67.71571
201601030336,38.99073
201601030337,63.390648
201601030347,67.571236
201601030348,47.350513
201601030349,66.73034
201601030350,70.11883
201601030379,68.84621
201601030381,64.757256
201601030388,67.65252
201601030390,67.001816
201601030396,65.343506
201601030398,68.00167
201601030420,60.41377
201601030422,69.34982
201601030431,53.161274
201601030432,54.00866
201601030435,51.93792
201601030436,53.56601
201601030439,61.78209
201601030440,63.44602
201601030453,62.123486
201601030466,50.360165
201601030474,64.948494
201601030492,41.277
201601030495,31.521318
201601030540,31.834423
201601030542,32.890205
